code,subject,number,enrollment,peak_demand,peak_demand_day,section,times,locations,rating,workload,id,name
AMTH 447,AMTH,447,5,15,2019-08-28,1,MW 11.35-12.50,NA,3.9,4.23,130,Partial Differential Equations
AMTH 480,AMTH,480,0,2,2019-08-26,1,1 HTBA,NA,4.08,3.54,131,Directed Reading
AMTH 482,AMTH,482,2,2,2019-09-08,1,1 HTBA,NA,4.08,3.54,132,Research Project
AMTH 490,AMTH,490,1,3,2019-08-26,1,1 HTBA,NA,3.2,3.67,133,Senior Seminar and Project
AMTH 491,AMTH,491,4,4,2019-09-09,1,1 HTBA,NA,3.74,4.42,134,Senior Project
ANTH 011,ANTH,11,13,36,2019-08-26,1,TTh 14.30-15.45 + 1,WTS A30,4.83,3.22,139,Reproductive Technologies
ANTH 061,ANTH,61,10,34,2019-08-26,1,MW 11.35-12.50,SA10 16,4.4,2.79,140,Understanding Human Origins
ANTH 116,ANTH,116,54,89,2019-08-27,1,MW 14.30-15.45,WTS A30,3.12,2.42,141,Intro Biological Anthropology
ANTH 129,ANTH,129,4,11,2019-08-28,1,W 13.30-15.20,WTS A68,4.17,3.94,142,Society and Politics of ME
ANTH 160,ANTH,160,18,36,2019-08-29,1,M 13.30-15.20,WALL81 301,4.29,2.71,41,Africa in the World
ANTH 171,ANTH,171,147,161,2019-08-31,1,MW 9.00-10.15,WLH 201,4,2.03,144,GreatCivilizationsAncientWorld
ANTH 205,ANTH,205,21,54,2019-08-28,1,TTh 11.35-12.50,PH 207,4.06,2.7800000000000002,145,"Language, Culture, Identity"
ANTH 211,ANTH,211,9,16,2019-08-26,1,TTh 13.00-14.15,WLH 012,3.63,3.38,13,Sex&Gender inThe BlackDiaspora
ANTH 236,ANTH,236,20,34,2019-08-28,1,TTh 14.30-15.45,WTS A74,4.09,2.77,147,Obesity: Biosocial Approaches
ANTH 244,ANTH,244,3,13,2019-08-28,1,TTh 11.35-12.50,WTS A48,4.42,3.16,148,Social Change Contemp SE Asia
ANTH 258,ANTH,258,5,9,2019-09-02,1,T 9.25-11.15,WTS B31,4,4,149,Cold War in the First Person
ANTH 269,ANTH,269,14,15,2019-08-28,1,TTh 13.00-14.15,HLH17 03,3.69,2.38,150,Apes and Human Evolution
ANTH 300,ANTH,300,81,104,2019-09-02,1,TTh 9.00-10.15,WTS A74,3.46,2.56,151,Primate Behavior and Ecology
ANTH 309,ANTH,309,13,29,2019-08-27,1,Th 13.30-15.20,WTS A48,4.39,2.7800000000000002,152,Language and Culture
ANTH 316L,ANTH,316,13,16,2019-08-27,1,W 14.30-17.30,HLH51 01,3.85,2.35,153,IntroArchaeological LabScience
ANTH 318,ANTH,318,3,13,2019-08-29,1,TTh 14.30-15.45,WTS A42,0,0,154,South Asian Cities
ANTH 322,ANTH,322,11,33,2019-08-28,1,T 9.25-11.15,SA10 212,4.31,3.5,155,Environ Justice in South Asia
ANTH 330,ANTH,330,4,6,2019-08-29,1,TTh 14.30-15.45,WLH 007,0,0,156,Arabian Peninsula Studies
ANTH 342,ANTH,342,15,28,2019-08-27,1,T 13.30-15.20,SA10 212,4,3,157,Cultures & Markets in Asia
ANTH 366,ANTH,366,14,35,2019-08-29,1,Th 13.30-15.20,SA10 105,4.44,4.09,91,Inequality InAmerica
ANTH 367,ANTH,367,15,21,2019-08-27,1,W 9.25-11.15,WTS B74,4.5600000000000005,2.98,159,Technology and Culture
ANTH 379,ANTH,379,0,11,2019-08-22,1,1 HTBA,NA,4.86,3.43,23,Anthropology of Youth
ANTH 382,ANTH,382,0,20,2019-08-22,NA,NA,NA,0,0,161,Environmental Anthropology
ANTH 386,ANTH,386,19,47,2019-08-28,1,W 13.30-15.20,SML 120C,4.23,3.05,162,Humanitarian Interventions
ANTH 388,ANTH,388,4,9,2019-08-28,1,W 9.25-11.15,SA10 105,4.5,3.63,163,Politics of Culture in SE Asia
ANTH 406,ANTH,406,12,28,2019-08-28,1,Th 13.30-15.20,RKZ 102,3.88,3.2800000000000002,164,Rivers: Nature and Politics
ANTH 409,ANTH,409,22,61,2019-08-28,1,Th 13.30-15.20,RKZ 241,4.75,3,165,Climate&Society Past toPresent
ANTH 413,ANTH,413,5,19,2019-08-24,1,W 13.30-15.20,SA10 212,4.5,3.17,166,"Language, Culture, & Ideology"
ANTH 417,ANTH,417,11,17,2019-08-28,1,W 13.30-15.20,HLH51 101,4.14,3.25,167,Maya Hieroglyphic Writing
ANTH 448,ANTH,448,12,23,2019-08-27,1,W 15.30-17.20,SA10 105,4.58,3.8,168,Medical Anthro Intersections
ANTH 450,ANTH,450,7,9,2019-09-02,1,Th 9.25-11.15,HLH51 101,4,3,169,Analysis of Lithic Technology
ANTH 471,ANTH,471,4,4,2019-09-05,1,1 HTBA,NA,4.1,3.36,170,Readings in Anthropology
ANTH 491,ANTH,491,3,3,2019-08-23,1,1 HTBA,NA,4.5,4.67,171,The Senior Essay
ARCH 006,ARCH,6,18,36,2019-08-26,1,MW 11.35-12.50,LC 318,4,3.2,225,Architectures of Urbanism
ARCH 150,ARCH,150,56,75,2019-08-28,1,MWF 9.25-10.15 + 1,LC 101,4.21,2.91,234,Introduction to Architecture
ARCH 161,ARCH,161,25,39,2019-08-28,1,TTh 16.00-17.15 + 1,RDH 211,3.56,3,235,Introduction to Structures
ARCH 250,ARCH,250,18,21,2019-08-27,1,MWF 13.30-15.20,NA,4.53,4.8,240,Methods&Form in Architecture I
ARCH 260,ARCH,260,36,56,2019-08-28,1,TTh 10.30-11.20 + 1,YK212 106,3.5,2.41,241,HistArch I: Antiquity-Baroque
ARCH 345,ARCH,345,17,31,2019-09-02,1,W 9.30-11.10 + 1,RDH HASTINGS,3.67,2.86,249,Civic Art: Intro Urban Design
ARCH 353,ARCH,353,19,44,2019-08-29,1,T 13.30-15.20 + 1,RDH 211,3.79,2.54,250,Urban Field Geography
ARCH 362,ARCH,362,17,19,2019-08-29,1,Th 10.30-13.20 + 1,RDH 705,4.08,4.69,251,Urban Lab: City Making
ARCH 375,ARCH,375,4,5,2019-09-05,1,Th 13.30-15.20,RDH 706,3.81,3.5300000000000002,252,American Gothic
ARCH 450,ARCH,450,16,17,2019-08-27,1,MW 13.30-15.20 + 1,RDH 705,4.54,4.39,259,Senior Studio
ARCH 471,ARCH,471,0,1,2019-08-22,1,1 HTBA,NA,4.35,4.8,260,Individual Tutorial
ARCH 490,ARCH,490,15,15,2019-08-29,1,M 11.00-12.50 + 1,LORIA 259,4.8,3.6,261,Senior Research Colloquium
ART 004,ART,4,10,20,2019-08-26,1,TTh 13.30-15.20,GREEN B03,4.33,2.52,267,Words and Pictures
ART 006,ART,6,11,13,2019-08-27,1,MW 13.30-15.20,JE L23,4.66,4.27,268,Art of the Printed Word
ART 013,ART,13,10,15,2019-08-27,1,WF 11.25-12.50,EDG36 023,4.29,1.8599999999999999,269,Temperamental Spaces
ART 111,ART,111,18,38,2019-08-27,1,WF 8.25-10.15,GREEN G01,3.47,2.7,270,Visual Thinking
ART 114,ART,114,54,106,2019-08-28,1,MW 10.30-12.20,GREEN G01,3.75,2.58,271,Basic Drawing
ART 116,ART,116,9,16,2019-08-27,1,TTh 15.30-17.20,GREEN G01,3.87,3.39,272,Color Practice
ART 120,ART,120,9,36,2019-08-27,1,TTh 10.30-12.20,EDG36 115,4.11,3.02,273,Intro to Sculpture: Wood
ART 130,ART,130,31,167,2019-08-28,1,TTh 15.30-17.20,GREEN 207,4.57,2.71,274,Painting Basics
ART 132,ART,132,32,74,2019-08-28,1,TTh 10.30-12.20,GREEN 210,4.34,3.79,275,Introduction to Graphic Design
ART 136,ART,136,9,24,2019-08-28,1,TTh 10.30-12.20,GREEN G32,4.6,4.12,276,B&W Photo Capturing Light
ART 138,ART,138,17,54,2019-08-27,1,MW 10.30-12.20,GREEN B03,4.32,3.04,277,Digital Photography
ART 142,ART,142,11,33,2019-08-25,1,M 13.30-17.20,EDG36 023,4.01,4.03,278,Intro Documentary Filmmaking
ART 184,ART,184,13,32,2019-08-29,1,MW 15.30-17.20,CCAM 110,4,3.35,279,3D Modeling
ART 225,ART,225,6,12,2019-09-04,1,TTh 10.30-12.20,GREEN C014,3.75,2.62,280,Adventures in Self-Publishing
ART 237,ART,237,4,7,2019-08-26,1,WF 10.30-12.20,GREEN G32,4.62,3.95,281,Intermediate B&W Photo
ART 239,ART,239,4,7,2019-09-01,1,TTh 13.30-15.20,GREEN G32,0,0,282,Photographic Storytelling
ART 241,ART,241,9,15,2019-08-28,1,T 8.25-12.20,EDG36 023,3.81,4.51,283,Intro Film Writing & Directing
ART 264,ART,264,12,20,2019-08-28,1,MW 10.30-12.20,GREEN 210,4.66,3.92,284,Typography!
ART 294,ART,294,3,6,2019-08-30,1,F 10.30-12.20 + 1,EDG36 119,0,0,285,Technology and Transformation
ART 332,ART,332,6,9,2019-08-28,1,T 15.30-17.20 + 1,GREEN 211,4.45,2.33,286,Painting Time
ART 348,ART,348,6,17,2019-08-27,1,MW 10.30-12.20,EDG36 204 + 1,5,4,287,"Body, Space, and Time"
ART 356,ART,356,10,15,2019-08-29,1,TTh 15.30-17.20,GREEN C014,4,2.71,288,Printmaking I
ART 368,ART,368,6,9,2019-08-24,1,W 13.30-17.20,GREEN 210,4.34,4.03,289,Graphic Design Methodologies
ART 370,ART,370,1,3,2019-08-22,1,Th 13.30-17.20,GREEN 209,4.83,4.13,290,Motion Design
ART 388,ART,388,0,9,2019-08-26,1,1 HTBA,NA,0,0,291,Edging Temporality
ART 389,ART,389,13,24,2019-08-28,1,W 10.30-12.20,ELM294 303,4.43,3.43,292,Postmodern Dance
ART 395,ART,395,15,15,2019-08-29,1,W 19.00-20.50,GREEN B03,3.62,2.58,293,Junior Seminar
ART 432,ART,432,9,11,2019-09-03,1,T 15.30-17.20 + 1,GREEN 216,2.6,3.4,294,PaintingStudio:NarrativeFigure
ART 442,ART,442,4,5,2019-08-30,1,T 13.30-17.20,CCAM 102,4.75,3.75,295,AdvancedFilmWriting&Directing
ART 468,ART,468,0,1,2019-09-02,1,T 13.30-17.20,GREEN 210,4.17,3.71,296,AdvGraphicDesignSeries&Systems
ART 471,ART,471,5,5,2019-09-10,1,1 HTBA,NA,5,3.5,297,Independent Projects
ART 495,ART,495,17,17,2019-09-10,1,T 19.00-20.50,GREEN 210,3.63,3.56,298,Senior Project I
ASTR 040,ASTR,40,18,101,2019-08-26,1,TTh 11.35-12.50,WLH 209,3.95,2.41,318,Expanding Ideas of Time &Space
ASTR 110,ASTR,110,85,171,2019-08-27,1,MW 13.00-14.15,HLH17 101,3.2,3.04,319,Planets and Stars
ASTR 155,ASTR,155,54,75,2019-08-28,1,M 19.00-20.45 + 1,LFOP,3.16,2.7800000000000002,320,Intro Astronomical Observing
ASTR 180,ASTR,180,68,84,2019-08-29,1,MWF 9.25-10.15,WTS A53,3.54,3.05,321,Intro to Relativity and BHs
ASTR 210,ASTR,210,13,20,2019-08-27,1,MW 13.00-14.15,LUCE 202,2.84,2.48,322,Stars and Their Evolution
ASTR 255,ASTR,255,24,29,2019-09-03,1,MWF 10.30-11.20,HLH17 113,4.69,3.55,323,Research Methods: Astrophysics
ASTR 310,ASTR,310,0,2,2019-08-22,NA,NA,NA,0,0,324,Galactic&ExtragalactAstronomy
ASTR 320,ASTR,320,4,8,2019-08-27,1,TTh 13.00-14.15,WTS A60,3,2.68,325,PhysicalProcessesInAstronomy
ASTR 355,ASTR,355,13,17,2019-08-28,1,TTh 9.00-10.15,WTS A46,3,2,326,Observational Astronomy
ASTR 385,ASTR,385,7,11,2019-08-28,1,MW 14.30-15.45,WTS A32,2.91,4,327,Intro to Radio Astronomy
ASTR 430,ASTR,430,9,14,2019-08-28,1,MW 16.00-17.15,WTS A30,5,4,328,Galaxies
ASTR 471,ASTR,471,1,1,2019-09-10,1,1 HTBA,NA,3.9,2.98,329,Independ Project in Astronomy
ASTR 490,ASTR,490,9,9,2019-09-09,1,1 HTBA,NA,4.42,3.5,330,Two-Term Senior Project
BENG 205,BENG,205,13,28,2019-08-28,1,TTh 9.00-10.15,ML 104,4.44,2.52,337,Discovery and Design
BENG 280,BENG,280,37,39,2019-08-28,1,T 13.00-14.15,WTS B74,3.67,2.05,338,Sophomore Seminar
BENG 350,BENG,350,88,98,2019-08-29,1,MWF 9.25-10.15,DL 220,4.02,4.12,339,Physiological Systems
BENG 353,BENG,353,32,38,2019-08-26,1,TTh 9.00-10.15,WLH 116,2.38,3.9699999999999998,340,Introduction to Biomechanics
BENG 355L,BENG,355,41,42,2019-08-30,1,1 HTBA,NA,3.8200000000000003,2.49,341,Physiological Systems Lab
BENG 410,BENG,410,19,21,2019-08-26,1,MW 13.00-14.15,HLH17 03,3.2800000000000002,3.2,342,Physical&ChemBasisOfBiosensing
BENG 422,BENG,422,8,16,2019-08-27,1,W 15.30-17.20,HLH17 113,4,3,343,Methods in Cancer Research
BENG 434,BENG,434,20,27,2019-08-28,1,MW 13.00-14.15,HLH17 05,3.71,2.94,344,Biomaterials
BENG 444,BENG,444,4,9,2019-08-23,1,MW 11.35-12.50,DL 316,0,0,345,Medical Imaging
BENG 445,BENG,445,13,14,2019-09-06,1,TTh 11.35-12.50,HLH17 113,4.5,3.25,346,Biomedical Image Processing
BENG 459,BENG,459,5,6,2019-08-27,1,MW 16.00-17.15,HLH17 115,4.5,3.67,347,Neuromuscular Biomechanics
BENG 463,BENG,463,10,19,2019-08-27,1,TTh 11.35-12.50,HLH17 03,3.08,2.39,348,Immunoengineering
BENG 471,BENG,471,3,3,2019-09-04,1,1 HTBA,NA,4.13,3.2,349,Special Projects
BENG 473,BENG,473,8,10,2019-09-05,1,1 HTBA,NA,3.88,3.99,350,Senior Project
BENG 475,BENG,475,103,139,2019-08-30,1,MW 14.30-15.45,DL 220,3,2.8200000000000003,351,ComputatlVision&BiologPerceptn
BENG 480,BENG,480,13,13,2019-08-26,1,TTh 13.00-14.15,WTS A74,2.7,1.83,352,SeminarInBiomedicalEngineering
CHEM 134L,CHEM,134,282,302,2019-09-03,1,1 HTBA,NA,2.87,3.7199999999999998,415,General Chemistry Laboratory I
CHEM 136L,CHEM,136,19,26,2019-09-03,1,1 HTBA,NA,2.44,3.9,416,GeneralChemistry Laboratory II
CHEM 161,CHEM,161,258,280,2019-08-30,1,MWF 10.30-11.20,SCL 110,3.21,3.29,417,General Chemistry I
CHEM 163,CHEM,163,80,104,2019-08-26,1,MWF 10.30-11.20,SCL 160,3.7199999999999998,3.74,418,ComprehensiveUniversityChem I
CHEM 165,CHEM,165,17,20,2019-08-29,1,MWF 10.30-11.20,SCL 18,2.29,3.13,419,General Chemistry II
CHEM 174,CHEM,174,98,99,2019-09-04,1,MWF 10.30-11.20,HLH17 101,3.9699999999999998,3.88,420,Organic Chem for First Years I
CHEM 220,CHEM,220,224,229,2019-08-29,1,MWF 9.25-10.15,SCL 110,3.42,3.93,421,Organic Chemistry
CHEM 221,CHEM,221,0,5,2019-08-22,NA,NA,NA,0,0,422,Organic Chem of Life Processes
CHEM 222L,CHEM,222,310,321,2019-09-03,1,1 HTBA,NA,3.66,2.96,423,Lab for Organic Chemistry I
CHEM 223L,CHEM,223,0,3,2019-08-22,1,1 HTBA,NA,3.76,2.9,424,Lab for Organic Chemistry II
CHEM 226L,CHEM,226,5,8,2019-08-27,1,TTh 13.00-17.00,SCL 231,4.88,2.98,425,IntensiveAdvancedChemistryLab
CHEM 230,CHEM,230,0,2,2019-08-22,NA,NA,NA,0,0,426,OrganicChemOfBiologcalPathways
CHEM 328,CHEM,328,0,4,2019-08-22,NA,NA,NA,0,0,427,PhysChemWithBiologScienceApps
CHEM 330L,CHEM,330,8,10,2019-08-24,1,F 13.30-14.20 + 1,SCL 18,3.17,4.92,428,Lab for Physical Chemistry I
CHEM 332,CHEM,332,66,73,2019-09-02,1,MWF 9.25-10.15,SCL 160,3.19,3.25,429,PhysChemWithPhysScienceApps I
CHEM 400,CHEM,400,9,9,2019-08-22,1,W 14.30-16.30,SCL 23,4,2.38,430,Current Chemistry Seminar
CHEM 418,CHEM,418,19,22,2019-09-04,1,TTh 11.35-12.50,CRB 123,3.01,2.24,431,Advanced Organic Chemistry I
